Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
26-May-2018 19:13:48.07001	5.494802
26-May-2018 18:43:53.03101	5.490918
26-May-2018 18:13:53.091	5.490349
26-May-2018 17:43:58.02	5.490541
26-May-2018 17:14:02.98801	5.487015
26-May-2018 16:44:03.041	5.479054
26-May-2018 16:14:03.10001	5.475482
26-May-2018 15:44:08.04601	5.468292
26-May-2018 15:14:08.052	5.466721
26-May-2018 14:44:13.01901	5.46624
26-May-2018 14:14:13.07301	5.464895
26-May-2018 13:44:13.095	5.46312
26-May-2018 13:14:18.06201	5.466953
26-May-2018 12:44:18.06801	5.470212
26-May-2018 12:14:18.07501	5.47216
26-May-2018 11:44:23.05801	5.471459
26-May-2018 11:14:28.03401	5.468298
26-May-2018 10:44:33.033	5.463619
26-May-2018 10:14:38.04701	5.4601
26-May-2018 09:44:43.02901	5.459589
26-May-2018 09:14:43.05101	5.453339
26-May-2018 08:44:43.06601	5.450132
26-May-2018 08:14:48.06401	5.451396
26-May-2018 07:44:53.03201	5.447795
26-May-2018 07:14:53.054	5.448897
26-May-2018 06:44:53.076	5.447024
26-May-2018 06:14:58.005	5.447802
26-May-2018 05:44:58.112	5.447366
26-May-2018 05:15:03.01001	5.444624
26-May-2018 04:45:03.07001	5.451257
26-May-2018 04:15:08.03601	5.45157
26-May-2018 03:45:08.106	5.456296
26-May-2018 03:15:08.112	5.4601
26-May-2018 02:45:08.119	5.458505
26-May-2018 02:15:13.06401	5.461317
26-May-2018 01:45:13.08601	5.463932
26-May-2018 01:15:18.05301	5.465405
26-May-2018 00:45:18.091	5.471406
26-May-2018 00:15:23.09001	5.475274
25-May-2018 23:45:23.09601	5.47532
25-May-2018 23:15:28.048	5.475842
25-May-2018 22:45:33.04601	5.480208
25-May-2018 22:15:38.007	5.482852
25-May-2018 21:45:38.09801	5.487039
25-May-2018 21:15:43.02701	5.486952
25-May-2018 20:45:43.10301	5.483948
25-May-2018 20:15:48.08501	5.48603
25-May-2018 19:45:48.108	5.489016
25-May-2018 19:15:53.084	5.485508
25-May-2018 18:45:53.09001	5.485548
25-May-2018 18:15:58.05801	5.480922
25-May-2018 17:46:03.03401	5.477935
25-May-2018 17:16:03.09401	5.474601
25-May-2018 16:46:08.061	5.469029
25-May-2018 16:16:08.067	5.465446
25-May-2018 15:46:08.07401	5.459137
25-May-2018 15:16:13.01901	5.455142
25-May-2018 14:46:13.09401	5.456708
25-May-2018 14:16:13.10101	5.457339
25-May-2018 13:46:18.04601	5.458882
25-May-2018 13:16:18.07401	5.459166
25-May-2018 12:46:23.035	5.462001
25-May-2018 12:16:23.11101	5.459462
25-May-2018 11:46:28.009	5.451321
25-May-2018 11:16:28.06201	5.445151
25-May-2018 10:46:28.069	5.432041
25-May-2018 10:16:33.03601	5.424834
25-May-2018 09:46:33.10501	5.417737
25-May-2018 09:16:33.11101	5.405456
25-May-2018 08:46:38.063	5.375438
25-May-2018 08:16:38.12601	5.372916
25-May-2018 07:46:43.02501	5.371744
25-May-2018 07:16:43.06902	5.375959
25-May-2018 06:46:48.01401	5.374348
25-May-2018 06:16:48.089	5.374498
25-May-2018 05:46:48.11101	5.375757
25-May-2018 05:16:53.02501	5.375438
25-May-2018 04:46:53.03201	5.379438
25-May-2018 04:16:53.091	5.38315
25-May-2018 03:46:58.037	5.388241
25-May-2018 03:16:58.05901	5.399542
25-May-2018 02:47:03.01001	5.394242
25-May-2018 02:17:03.06401	5.401124
25-May-2018 01:47:08.03101	5.404963
25-May-2018 01:17:08.05301	5.405763
25-May-2018 00:47:13.01401	5.406865
25-May-2018 00:17:13.05801	5.411445
24-May-2018 23:47:18.01901	5.420004
24-May-2018 23:17:18.063	5.426196
24-May-2018 22:47:18.08501	5.432418
24-May-2018 22:17:23.03001	5.479025
24-May-2018 21:47:23.10501	5.479593
24-May-2018 21:17:28.035	5.48182
24-May-2018 20:47:28.11	5.489004
24-May-2018 20:17:33.04001	5.492791
24-May-2018 19:47:33.099	5.492877
24-May-2018 19:17:38.02901	5.494194
24-May-2018 18:47:38.035	5.499221
24-May-2018 18:17:38.05701	5.496617
24-May-2018 17:47:38.06401	5.503599
24-May-2018 17:17:43.04701	5.50695
24-May-2018 16:47:43.08401	5.514238
24-May-2018 16:17:48.067	5.523203
24-May-2018 15:47:48.07401	5.542888
24-May-2018 15:17:48.09601	5.536145
24-May-2018 14:47:48.11801	5.535924
24-May-2018 14:17:53.069	5.536423
24-May-2018 13:47:58.06801	5.533744
24-May-2018 13:17:58.09001	5.534666
24-May-2018 12:48:03.05101	5.53255
24-May-2018 12:18:08.01801	5.533558
24-May-2018 11:48:13.022	5.533385
24-May-2018 11:18:13.07001	5.531697
24-May-2018 10:48:18.02101	5.527499
24-May-2018 10:18:18.11201	5.525417
24-May-2018 09:48:23.063	5.52594
24-May-2018 09:18:23.095	5.531262
24-May-2018 08:48:28.04701	5.536458
24-May-2018 08:18:28.069	5.53513
24-May-2018 07:48:33.03601	5.53364
24-May-2018 07:18:33.05801	5.533929
24-May-2018 06:48:33.11101	5.530294
24-May-2018 06:18:38.09401	5.531187
24-May-2018 05:48:38.11601	5.530805
24-May-2018 05:18:43.08301	5.531778
24-May-2018 04:48:48.04401	5.533663
24-May-2018 04:18:48.08801	5.535241
24-May-2018 03:48:53.033	5.535367
24-May-2018 03:18:53.093	5.538041
24-May-2018 02:48:53.10001	5.541073
24-May-2018 02:18:53.106	5.543509
24-May-2018 01:48:58.07301	5.544454
24-May-2018 01:18:58.11101	5.547533
24-May-2018 00:49:03.04001	5.551731
